Date,Site,Trial_Name,Polygon_ID,Corner_1.Latitude,Corner_1.Longitude,Corner_2.Latitude,Corner_2.Longitude,Corner_3.Latitude,Corner_3.Longitude,Corner_4.Latitude,Corner_4.Longitude,Central_coordinate_Latitude,Central_coordinate_Longitude,Species_1_Acacia_mearnsii,Species_2_Acacia_melanoxylon,Species_3_Alnus_acuminata,Species_1_Acacia_mearnsii_Perc,Species_2_Acacia_melanoxylon_Perc,Species_3_Alnus_acuminata_Perc,Class,Dominant_Species,coord_flag
25.10.24,MUKURA,Harama,P061,-1.9675,29.49147,-1.96738,29.49139,-1.96733,29.49149,-1.96741,29.49155,-1.967405,29.491475,0,0,0,0,0,0,No Invasive,Non-invasive,OK
25.10.24,MUKURA,Rushungura,P062,-1.96665,29.49222,-1.96646,29.49217,-1.96667,29.49228,-1.96655,29.49234,-1.9665825,29.4922525,7,0,0,40,0,0,Medium,Acacia mearnsii,OK
28.10.24,MUKURA,Rushungura,P063,-1.99099,29.49884,-1.99094,29.49875,-1.99078,29.49864,-1.99081,29.49882,-1.99088,29.4987625,0,0,0,0,0,0,No Invasive,Non-invasive,OK
28.10.24,MUKURA,Rushungura,P064,-1.99017,29.49909,-1.99001,29.49905,-1.99004,29.49891,-1.99027,29.49892,-1.9901225,29.4989925,0,0,0,0,0,0,No Invasive,Non-invasive,OK
28.10.24,MUKURA,Rushungura,P065,-1.99257,29.513,-1.99241,29.51293,-1.9923,29.51307,-1.99241,29.51319,-1.9924225,29.5130475,0,0,0,0,0,0,No Invasive,Non-invasive,OK
28.10.24,MUKURA,Rwamasizi,P066,-1.99177,29.50882,-1.9918,29.509,-1.99165,29.50879,-1.99172,29.50896,-1.991735,29.5088925,2,0,0,3,0,0,Low,Acacia mearnsii,OK
28.10.24,MUKURA,Rwamasizi,P067,-1.99283,29.51429,-1.99277,29.51451,-1.99258,29.51442,-1.99263,29.51422,-1.9927025,29.51436,1,0,0,0.8,0,0,Low,Acacia mearnsii,OK
28.10.24,MUKURA,Rwamasizi,P068,-1.99169,29.5137,-1.99145,29.51373,-1.99154,29.5136,-1.99169,29.5136,-1.9915925,29.5136575,0,0,0,0,0,0,No Invasive,Non-invasive,OK
28.10.24,MUKURA,Rwamasizi,P069,-1.99189,29.51399,-1.99194,29.51411,-1.99183,29.51411,-1.99179,29.51403,-1.9918625,29.51406,0,0,0,0,0,0,No Invasive,Non-invasive,OK
28.10.24,MUKURA,Rwamasizi,P070,-1.99283,29.51338,-1.99273,29.51331,-1.99285,29.51316,-1.99292,29.51337,-1.9928325,29.513305,0,0,0,0,0,0,No Invasive,Non-invasive,OK
29.10.24,MUKURA,Gashaka,P071,-1.99237,29.52036,-1.99241,29.52018,-1.99261,29.52028,-1.9925,29.52042,-1.9924725,29.52031,38,0,0,78,0,0,High,Acacia mearnsii,OK
